kernel,accuracy,precision_macro
linear,0.44301587301587303,0.39257284931673153
poly,0.4411111111111111,0.45543998623149784
rbf,0.4714285714285714,0.44979956519567965
sigmoid,0.24928571428571428,0.20630330274641726
